Instruction Mnemonic,Arguments,Function,Operation,Format Name,Format,Program Memory Addresing Mode,SH2PMAU : in RegIn,SH2PMAU : in PRIn,SH2PMAU : in PRWriteEN,SH2PMAU : in Off8,SH2PMAU : in Off12,SH2PMAU : in PCAddrMode,SH2PMAU : out PCOut,SH2PMAU : out PROut,Data Memory Addressing Mode,SH2DMAU : in RegSrc,SH2DMAU : in R0Src,SH2DMAU : in PCSrc,SH2DMAU : in GBRIn,SH2DMAU : in GBRWriteEN,SH2DMAU : in Off4,SH2DMAU : in Off8,SH2DMAU : in BaseSel,SH2DMAU : in IndexSel,SH2DMAU : in OffScalarSel,SH2DMAU : in IncDecSel,SH2DMAU : out Address,SH2DMAU : out AddrSrcOut,SH2DMAU : out GBROut,"Memory Access Type (Read, Write)",Data Size,"Data Extension (Zero, Sign, None)",Execution Clocks,Implemented?
MOV,"#imm, Rn",Sign extend immediate and move into Rn.,imm -> Sign extension -> Rn,ni,1110 nnnn iiii iiii,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,,Yes
MOV.W,"@(disp, PC), Rn","Read word from @(disp:8 * 2 + PC), sign extend, and move into Rn.",(disp x 2 + PC) -> Sign extension -> Rn,nd,1011 nnnn dddd dddd,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,PC relative adressing with displacement (Word),X,X,SH2PMAU : out PCOut,X,0,X,dddd dddd,BaseSel_PC,IndexSel_OFF8,OffScalarSel_TWO,IncDecSel_NONE,SH2CPU : in AB,X,X,Read,Word,Sign,,Yes
MOV.L,"@(disp, PC), Rn",Read long-word from @(disp:8 * 2 + PC) and move into Rn.,(disp x 4 + PC) -> Rn,nd,1101 nnnn dddd dddd,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,PC relative addressing with displacement (Long-word),X,X,SH2PMAU : out PCOut,X,0,X,dddd dddd,BaseSel_PC,IndexSel_OFF8,OffScalarSel_FOUR,IncDecSel_NONE,SH2CPU : in AB,X,X,Read,Long-word,None,,Yes
MOV,"Rm, Rn",Move Rm into Rn.,Rm -> Rn,nm,0110 nnnn mmmm 0011,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,None,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,,Yes
MOV.B,"Rm, @Rn",Move byte of Rm into @(Rn).,Rm -> (Rn),nm,0010 nnnn mmmm 0000,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,Indirect Register Addressing,Rn (from register array),X,X,X,0,X,X,BaseSel_REG,IndexSel_NONE,OffScalarSel_ONE,IncDecSel_NONE,SH2CPU : in AB,X,X,Write,Byte,None,,Yes
MOV.W,"Rm, @Rn",Move word of Rm into @(Rn).,Rm -> (Rn),nm,0010 nnnn mmmm 0001,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,Indirect Register Addressing,Rn (from register array),X,X,X,0,X,X,BaseSel_REG,IndexSel_NONE,OffScalarSel_ONE,IncDecSel_NONE,SH2CPU : in AB,X,X,Write,Word,None,,Yes
MOV.L,"Rm, @Rn",Move long-word of Rm into @(Rn).,Rm -> (Rn),nm,0010 nnnn mmmm 0010,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,Indirect Register Addressing,Rn (from register array),X,X,X,0,X,X,BaseSel_REG,IndexSel_NONE,OffScalarSel_ONE,IncDecSel_NONE,SH2CPU : in AB,X,X,Write,Long-word,None,,Yes
MOV.B,"@Rm, Rn","Read byte from @(Rm), sign extend, and move into Rn.",(Rm) -> Sign extension -> Rn,nm,0110 nnnn mmmm 0000,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,Indirect Register Addressing,Rm (from register array),X,X,X,0,X,X,BaseSel_REG,IndexSel_NONE,OffScalarSel_ONE,IncDecSel_NONE,SH2CPU : in AB,X,X,Read,Byte,Sign,,Yes
MOV.W,"@Rm, Rn","Read word from @(Rm), sign extend, and move into Rn.",(Rm) -> Sign extension -> Rn,nm,0110 nnnn mmmm 0001,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,Indirect Register Addressing,Rm (from register array),X,X,X,0,X,X,BaseSel_REG,IndexSel_NONE,OffScalarSel_ONE,IncDecSel_NONE,SH2CPU : in AB,X,X,Read,Word,Sign,,Yes
MOV.L,"@Rm, Rn",Read long-word from @(Rm) and move into Rn.,(Rm) -> Rn,nm,0110 nnnn mmmm 0010,Increment,X,X,0,X,X,PCAddrMode_INC,SH2CPU : in PCIn,X,Indirect Register Addressing,Rm (from register array),X,X,X,0,X,X,BaseSel_REG,IndexSel_NONE,OffScalarSel_ONE,IncDecSel_NONE,SH2CPU : in AB,X,X,Read,Long-word,None,,Yes
